ID,year,loan_limit,Gender,approv_in_adv,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,LTV,Region,Security_Type,Status,dtir1
24913,2019,cf,Female,nopre,p3,l1,nopc,nob/c,316500,3.625,0.0454,6661.88,360,not_neg,not_int,not_lpsm,508000,home,1U,2760,CIB,620,CIB,65-74,62.30314961,south,direct,0,44
24914,2019,cf,Male,nopre,p3,l2,nopc,nob/c,336500,4.5,0.0759,0,360,not_neg,not_int,not_lpsm,428000,home,1U,4980,CIB,846,CIB,35-44,78.62149533,south,direct,0,35
24915,2019,,Joint,nopre,p3,l1,nopc,nob/c,426500,4.99,1.2706,169.5,360,not_neg,not_int,not_lpsm,568000,home,1U,8940,EXP,533,EXP,45-54,75.08802817,North,direct,0,34
24916,2019,cf,Joint,nopre,p1,l1,nopc,nob/c,476500,,,,360,not_neg,not_int,not_lpsm,,home,1U,6780,EQUI,518,EXP,45-54,,south,direct,1,
24917,2019,cf,Sex Not Available,nopre,p4,l1,nopc,nob/c,196500,5.25,1.2158,5245.09,360,not_neg,not_int,not_lpsm,258000,home,1U,3840,EXP,812,EXP,25-34,76.1627907,south,direct,0,49
24918,2019,cf,Female,nopre,p1,l1,nopc,nob/c,186500,4.25,1.0186,5376.25,360,not_neg,not_int,not_lpsm,218000,home,1U,3840,CRIF,534,CIB,55-64,85.55045872,central,direct,0,46
24919,2019,cf,Female,nopre,p1,l1,nopc,nob/c,436500,3.625,0.266,6260,360,not_neg,not_int,not_lpsm,468000,home,1U,4920,CIB,647,EXP,35-44,93.26923077,south,direct,0,42
24920,2019,cf,Male,nopre,p1,l1,nopc,b/c,246500,4.25,1.4614,0,360,not_neg,not_int,not_lpsm,258000,home,1U,5400,EXP,683,CIB,25-34,95.54263566,North,direct,0,39
24921,2019,cf,Male,nopre,p4,l1,nopc,nob/c,216500,2.99,-0.6203,2101.63,360,not_neg,not_int,not_lpsm,228000,home,1U,,CIB,705,CIB,55-64,94.95614035,North,direct,0,
24922,2019,,Male,nopre,p1,l1,nopc,nob/c,306500,4.125,0.2848,3752.4,360,not_neg,not_int,not_lpsm,318000,home,1U,5580,EXP,701,CIB,35-44,96.3836478,North,direct,0,37
